ID;SPECTRUM;POWER_TH;POWER_E;"Power plant output,net
[MWe]";"Plant efficiency, net
[%]";Thermodynamic cycle;Non-electrical applications
4S;Fast;30;10;10;33.3;Rankine;Multiple
AHWR;Thermal;920;304;284;30.9;Rankine;Desalination
ALFRED;Fast;300;125;125;-;-;-
ALLEGRO;Fast;75;-;-;-;-;-
ASTRID;Fast;1500;600;600;-;Brayton/Rankine;-
BREST-OD-300;Fast;700;300;300;-;Rankine;-
BWRX-300;Thermal;870;300;290;33;Rankine;Possible
CFR-600;Fast;1500;600;600;40;-;-
CLEAR-I;Fast;10;-;-;-;-;-
ELECTRA;Fast;0.5;-;-;-;-;-
ELFR;Fast;1500;630;630;40;Rankine;-
EM2;Fast;500;272;265;53;Combined;-
FBNR;Thermal;218;72;70;33;Rankine;Desalination
FBR-1 & 2;Fast;1250;500;500;41.7;Rankine;-
G4M;Fast;70;25;25;-;Rankine;-
HAPPY200;Thermal;200;-;-;-;-;Civil heat supply
HTR-PM;Thermal;500;211;200;-;Rankine;-
IMR;Thermal;1000;350;350;35;Rankine;-
IMSR-400;Thermal;400;194;185;46;Rankine;Multiple
IPHWR-220;Thermal;754;235.81;210;28;Modified Rankine;-
KLT-40S;Thermal;300;70;60;23.3;Rankine;Distric heat
LFR-AS-200;Fast;480;212;200;42;Rankine;Heat for industrial processes
LFTR;Thermal;600;250;-;45;Brayton with IHX;-
MBIR;Fast;150;60;60;-;-;-
Mk1 PB-FHR;Thermal;236;100;-;42.5;Brayton;-
MoveluX;Thermal;10;3.5;3.5;35;Brayton;Process heat supply, Hydrogen production
MSR-FUJI;Thermal;450;207;200;44.4;Rankine;Multiple
MSTW;Thermal;270;115;-;42.5;Rankine;Multiple
MYRRHA;Fast;100;-;-;-;-;-
NuScale;Thermal;200;60;57;28.5;Rankine;-
NUWARD;Thermal;540;185;170;31;Rankine;Optional
PBMR;Thermal;400;165;165;40;-;-
PEACER;Fast;850;300;300;-;-;-
PGSFR;Fast;150;-;-;-;-;-
PRISM;Fast;840;311;311;-;Rankine;-
Prismatic HTR;Thermal;350;150;-;42.8;Rankine;-
SC-HTGR;Thermal;625;282;272;43;Rankine;Industrial process heat
SEALER;Fast;140;58;55;39.3;Rankine;-
SmAHTR;Thermal;125;-;-;-;-;H2 production
SMART;Thermal;330;100;90;30.3;Rankine;Desalination
SVBR-100;Fast;280;101;101;-;Rankine;-
ThorCon;Thermal;557;258;250;46.4;Rankine;-
TWR-P;Fast;1475;600;600;-;-;-
UK-SMR;Thermal;1276;443;443;34.7;Rankine;Optional, configurable
VBER-300;Thermal;917;325;300;33;Rankine;Distric heat
VVER-600 (V-498);Thermal;1600;600;600;35;Rankine;-
VVER-640 (V-407);Thermal;1800;645;603;33.3;Rankine;District heat
W-LFR;Fast;950;468;460;48.4;"""Brankine"" (Condensing sCO2)";-
