KEY;PROJECT;SMR;COMMITTEE;FLAG
0;None;;MBDAV;
0;None;;RWMC;
1;Multi-sector Workshop on Innovative Regulation on 14-18 December 2020: Challenges and Benefits of Harmonising the Licensing Process for Emerging Technologies;Relevant;CNRA;YES
2;CNRA Areas of Focus for SMRs support: Strategic review under discussion including new reactors;Specific;CNRA;YES
3;CNRA Areas of Focus for SMRs support: Creation of a Working Group on New Technologies. To be responsible for the PoW to the Committee on Nuclear Regulatory Activities (CNRA) regarding regulatory activities in the area of advanced reactors (including small modular reactors and Generation IV reactors), associated installations and application of innovative technologies, and to provide regulatory perspectives and influence through the issue of technical reports in areas where additional or revised regulatory frameworks, licensing approaches, regulatory standards or research,  may be needed to support new technologies;Specfic;CNRA;YES
4;CSNI Areas of Focus for SMRs support: REPORT on CSNI activities of relevance to SMRs with identification of past CSNI reports that are fully applicable to SMRs and prioritized ranking of the safety knowledge gaps and recommendations to address the gaps, with a focus on safety issues that cross a number of designs.;Specific;CSNI;YES
5;CSNI Areas of Focus for SMRs support: REPORT on CSNI activities of relevance to SMRs with identification of past CSNI reports that are fully applicable to SMRs and prioritized ranking of the safety knowledge gaps and recommendations to address the gaps, with a focus on safety issues that cross a number of designs: A CSNI “booklet” on Safety of SMRs.;Specific;CSNI;YES
6;CSNI WGFS activities of potential interest for SMRs;Relevant;CSNI;YES
7;CSNI WGAMA activities of potential interest for SMRs. *REPORT: Status report on thermal-hydraulic passive systems design and safety assessment, volume 1;Relevant;CSNI;YES
8;CSNI WGAMA activities of potential interest for SMRs. REPORT: Topical Opinion Paper: Topical Opinion Paper on the Use of CFD for Nuclear Safety;Relevant;CSNI;YES
9;CSNI WGAMA activities of potential interest for SMRs. REPORT: Status Report on Good Practices for Analyses of Design Extension Condition without Significant Fuel Degradation (DEC-A), with WGFS;Relevant;CSNI;YES
10;CSNI WGAMA activities of potential interest for SMRs. REPORT: CFD for Nuclear Reactor Safety Phase 6 – Supporting an enlarged use;Relevant;CSNI;YES
11;CSNI WGAMA activities of potential interest for SMRs. BENCHMARK: Final Report on the PERSEO benchmark exercise, volume 2;Relevant;CSNI;YES
12;CSNI WGAMA activities of potential interest for SMRs. BENCHMARK: ISP on advanced core cooling mechanism experiments (ACME);Relevant;CSNI;YES
13;CSNI WGAMA activities of potential interest for SMRs. BENCHMARK: Application Tests for Realisation of Inverse Uncertainty quantification and validation Methodologies in thermal-hydraulics (ATRIUM);Relevant;CSNI;YES
14;CSNI WGAMA activities of potential interest for SMRs. WORKSHOP: WS on research needs to ensure core and containment cooling reliability in the long-term;Relevant;CSNI;YES
15;CSNI WGAMA activities of potential interest for SMRs. WORKSHOP: Specialist Meeting on Transient Thermal Hydraulics in Water cooled reactors;Relevant;CSNI;YES
16;CSNI WGAMA activities of potential interest for SMRs. CONFERENCE: Collaboration with ERMSAR2022 (European Review Meeting on Severe Accident Research);Relevant;CSNI;YES
17;CSNI WGAMA activities of potential interest for SMRs. WORKSHOP: Reactor core and containment cooling systems: Long-term management and reliability (RCCS-2021).;Relevant;CSNI;YES
18;CSNI WGRISK activities of potential interest for SMRs: Report “Site-Level (Including Multi-Unit) PSA”, NEA/CSNI/R(2019)16;Relevant;CSNI;YES
19;CSNI WGRISK activities of potential interest for SMRs: Report “Site-Level (Including Multi-Unit) PSA”, NEA/CSNI/R(2019)16: Joint NEA and IAEA International Symposium on PSA for Reactors of Singular Designs – hosted by Office for Nuclear Regulation (ONR) in Liverpool (UK) on 23-25 February 2022;Relevant;CSNI;YES
20;CSNI WGEV activities of potential interest for SMRs: WGEV Workshop on High Winds and Tornadoes – Hazard Assessment and Protection of Nuclear Installations in collaboration with the Korea Atomic Energy Research Institute (KAERI) - Daejeon, South Korea in March 2022;Relevant;CSNI;YES
21;CSNI WGEV activities of potential interest for SMRs: WGEV Workshop on Sources of Uncertainties in the Assessment of Natural Hazards in May 2022;Relevant;CSNI;YES
22;Joint project activities of potential interest for SMRs: FIRE Project: Potential activity to investigate if there are any specific aspects concerning fire protection and regulation that needs to be considered when SMRs and metal cooled reactors are in operation;Specific;CSNI;YES
23;Joint project activities of potential interest for SMRs: PANDA new Project: experiments in the PSI PANDA facility addressing complex safety issues for current water reactors and small modular reactors;Specific;CSNI;YES
24;International Workshop on the Implementation of Radioactive Waste Management Strategies in Small Modular Reactors (SMRs)/Advanced Reactor  technologies (Fall 2022 - dates still to be confirmed);Specific;CDLM;YES
