KEY;PROJECT;DESCRIPTION;DELIVERABLE;DUE_DATE;SAF;RWMD;RPHANS;SCI;NTE;OLC;DB;CNRA;CSNI;RWMC;CDLM;CRPPH;NLC;NDC;NSC;MBDAV;STATUS;SMR;Technology RDD;Water Cooled;Fast Spectrum;Micro;Molten Salt;Gas cooled;Land-based;Marine-based;Mobile;Multi-module;Policy;Legal;Safety and regulation;Security;Front-end of the fuel cycle;Back-end of the fuel cycle;Infrastructure;Supply Chain;Talent pipeline;Public Engagement;Economics and Financing;On-grid;Off-grid;Industrial heat;District heat;Potable water;Hydrogen and Synthetic Fuels;Marine Merchant Shipping
1;Multi-sector Workshop on Innovative Regulation on 14-18 December 2020: Challenges and Benefits of Harmonising the Licensing Process for Emerging Technologies;This workshop brought together regulators and stakeholders, including industry representatives, and other international organisations to share information between nuclear and other highly regulated industries (aviation industry (including drones), Medical sector, Transportation of nuclear material, Other sectors);A report on “Harmonising the Nuclear Licensing Processfor Emerging Technologies: A Global Path Forward”;In preparation;yes;;;;;;;yes;;;;;;;;;Approved;Relevant;;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;;;;;;;;;;;;;;;
2;CNRA Areas of Focus for SMRs support: Strategic review under discussion including new reactors;Strategic review under discussion including new reactors;TO BE COMPLETED (TBC);TBC;yes;;;;;;;yes;;;;;;;;;Approved;Specific;;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;;;;;;;;;;;;;;;
3;CNRA Areas of Focus for SMRs support: Creation of a Working Group on New Technologies. To be responsible for the PoW to the Committee on Nuclear Regulatory Activities (CNRA) regarding regulatory activities in the area of advanced reactors (including small modular reactors and Generation IV reactors), associated installations and application of innovative technologies, and to provide regulatory perspectives and influence through the issue of technical reports in areas where additional or revised regulatory frameworks, licensing approaches, regulatory standards or research,  may be needed to support new technologies;Creation of a Working Group on New Technologies;TBC;TBC;yes;;;;;;;yes;;;;;;;;;Approved;Specific;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;;;;;;;;;;;;;;;
4;CSNI Areas of Focus for SMRs support: REPORT on CSNI activities of relevance to SMRs with identification of past CSNI reports that are fully applicable to SMRs and prioritized ranking of the safety knowledge gaps and recommendations to address the gaps, with a focus on safety issues that cross a number of designs. ;Creation of an ad hoc expert group to interact with other international organisations (e.g. IAEA, EC) and advise on activities to address knowledge gaps in the safety of several SMR designs of interest to CSNI members:  First meeting expected at the beginning of 2022 – The EG products should provide inputs for the future CSNI PoW;TBC;TBC;yes;;;;;;;;yes;;;;;;;;Approved;Specific;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;yes;;;;yes;;;yes;;;;;;;;
5;CSNI Areas of Focus for SMRs support: REPORT on CSNI activities of relevance to SMRs with identification of past CSNI reports that are fully applicable to SMRs and prioritized ranking of the safety knowledge gaps and recommendations to address the gaps, with a focus on safety issues that cross a number of designs: A CSNI “booklet” on Safety of SMRs.;Creation of an ad hoc expert group to interact with other international organisations (e.g. IAEA, EC) and advise on activities to address knowledge gaps in the safety of several SMR designs of interest to CSNI members:  First meeting expected at the beginning of 2022 – The EG products should provide inputs for the future CSNI PoW;TBC;TBC;yes;;;;;;;;yes;;;;;;;;Approved;Specific;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;yes;;;;yes;;;yes;;;;;;;;
6;CSNI WGFS activities of potential interest for SMRs;To better address fuel safety issues emerging from power plants operating experience and research and to investigate fuel behavior in accident situations and related safety criteria incl. for new fuel designs;CSNI Technical Opinion Paper on Applicability of Nuclear Fuel Safety Criteria to Accident Tolerant Fuels, NEA report N° 7576.;Under publication;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;
7;CSNI WGAMA activities of potential interest for SMRs. *REPORT: Status report on thermal-hydraulic passive systems design and safety assessment, volume 1;To advance the understanding of accident phenomenology and address the safety-significant issues;TBC;Completed;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;
8;CSNI WGAMA activities of potential interest for SMRs. REPORT: Topical Opinion Paper: Topical Opinion Paper on the Use of CFD for Nuclear Safety ;To advance the understanding of accident phenomenology and address the safety-significant issues;TBC;Almost completed;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;;;Yes;;;;;;;;;;;;;
9;CSNI WGAMA activities of potential interest for SMRs. REPORT: Status Report on Good Practices for Analyses of Design Extension Condition without Significant Fuel Degradation (DEC-A), with WGFS;To advance the understanding of accident phenomenology and address the safety-significant issues;TBC;New – expected time of completion TBC;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;;;;;yes;yes;yes;yes;;;;;Yes;;;;;;;;;;;;;
10;CSNI WGAMA activities of potential interest for SMRs. REPORT: CFD for Nuclear Reactor Safety Phase 6 – Supporting an enlarged use;To advance the understanding of accident phenomenology and address the safety-significant issues;TBC;New completion TBC;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;;;;;yes;yes;yes;yes;;;yes;;;;;;;;;;;;;;;
